url,id,sold,rating,reviews,initial_price,final_price,currency,stock,favorite,shop_url,seller_rating,seller_products,seller_chats_responded_percentage,seller_chat_time_reply,seller_joined_date,seller_followers,domain,brand,category_id,flash_sale,is_available,seller_id
https://shopee.vn/Qiaoyiluo-D%C3%A9p-X%E1%BB%8F-Ng%C3%B3n-%C4%90%E1%BA%BF-Xu%E1%BB%93ng-D%C3%A0y-D%E1%BA%B7n-%C4%90%E1%BB%A5c-L%E1%BB%97-Cho-N%E1%BB%AF-i.619007751.23968373353?model_id=221618582016,23968373353,1189,4.91,423,266000,133000,VND,108687,825,https://shopee.vn/qiaoyiluo.vn,4.74,1773,100,0.92 hours,Fri Dec 10 2021 03:18:42 GMT+0000 ,71619,https://shopee.vn,QiaoYiLuo,100532,FALSE,TRUE,619007751
https://shopee.vn/-M%C3%A3-FADEP1110-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-30k-%C4%91%C6%A1n-t%E1%BB%AB-99k-Erosska-D%C3%A9p-n%E1%BB%AF-th%E1%BB%9Di-trang-%C4%91%E1%BA%BF-xu%E1%BB%93ng-ph%E1%BB%91i-d%C3%A2y-ki%E1%BB%83u-d%C3%A1ng-%C4%91%C6%A1n-gi%E1%BA%A3n-m%C3%A0u-b%E1%BA%A1c-SB033-i.42063380.22760538958?model_id=225785824837,22760538958,491,4.82,298,390000,199000,VND,177,784,https://shopee.vn/erosska,4.87,271,97,2.13 hours,Tue Nov 07 2017 13:35:49 GMT+0000 ,1174542,https://shopee.vn,Erosska,100532,FALSE,TRUE,42063380
https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Tr%C3%A1ng-G%C6%B0%C6%A1ng-Treo-T%C6%B0%E1%BB%9Dng-CH%E1%BB%AE-CHA-M%E1%BA%B8-CH%E1%BB%AE-TH%C6%AF-PH%C3%81P-In-UV-5D-Cao-C%E1%BA%A5p-i.888977592.23951272574?model_id=187571860649,23951272574,35,4.95,20,500000,360000,VND,65914,9,https://shopee.vn/thutrangdecor,4.76,357,100,0.72 hours,Mon Oct 24 2022 04:52:40 GMT+0000 ,19128,https://shopee.vn,Thu Trang Decor,100636,FALSE,TRUE,888977592
https://shopee.vn/B%E1%BB%99-%C4%91%E1%BB%93ng-ph%E1%BB%A5c-spa-c%E1%BB%95-tim-nhi%E1%BB%81u-m%C3%A0u-scrubs-b%C3%A1c-s%C4%A9-cao-c%E1%BA%A5p-qu%E1%BA%A7n-%C3%A1o-%C4%91i%E1%BB%81u-d%C6%B0%E1%BB%A1ng-d%C6%B0%E1%BB%A3c-s%C4%A9-nha-khoa-ph%C3%B2ng-kh%C3%A1m-th%E1%BA%A9m-m%C4%A9-vi%E1%BB%87n-i.1118303092.25224746987?model_id=215071796529,25224746987,1020,4.87,353,280000,150000,VND,2249,123,https://shopee.vn/xuongmaynhatminh,4.9,30,100,0.71 hours,Tue Nov 14 2023 11:16:21 GMT+0000 ,3706,https://shopee.vn,,100011,TRUE,TRUE,1118303092
https://shopee.vn/Balo-EDMOND-MASION-MONOGRAM-t%E1%BA%B7ng-v%C3%AD-nh%E1%BB%8F-v%C3%A0-cardholder-EDM-size-M-L-i.570101192.12242689013?model_id=95672022014,12242689013,5512,4.93,2738,750000,729000,VND,25671,11254,https://shopee.vn/edmondmasionvn,4.94,55,98,2.04 hours,Fri Oct 22 2021 06:48:31 GMT+0000 ,141733,https://shopee.vn,EDMOND MASION MONOGRAM,100016,FALSE,TRUE,570101192
https://shopee.vn/QIANLUO-t%C3%BAi-x%C3%A1ch-n%E1%BB%AF-t%C3%BAi-%C4%91eo-ch%C3%A9o-2023NEW-Th%E1%BB%9Di-trang-gi%E1%BA%A3n-d%E1%BB%8B-th%C3%ADch-h%E1%BB%A3p-s%E1%BB%AD-d%E1%BB%A5ng-h%C3%A0ng-ng%C3%A0y-Gi%C3%A1-r%E1%BA%BB-Popular-GDJ2440LB7-15Z240412-i.985095791.25573740437?model_id=226216746901,25573740437,910,4.88,490,348333,175000,VND,118,2989,https://shopee.vn/dcmin45.vn,4.69,17004,100,0.01 hours,Thu Apr 13 2023 03:02:35 GMT+0000 ,37638,https://shopee.vn,QIANLUO,100016,TRUE,TRUE,985095791
https://shopee.vn/ESSONIO-MUA-1-T%E1%BA%B6NG-1-%C4%91%C3%A8n-n%C4%83ng-l%C6%B0%E1%BB%A3ng-m%E1%BA%B7t-tr%E1%BB%9Di-kh%C3%B4ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-%C4%91%C3%A8n-pha-s%C3%A2n-v%C6%B0%E1%BB%9Dn-n%C4%83ng-l%C6%B0%E1%BB%A3ng-m%E1%BA%B7t-tr%E1%BB%9Di-chi%E1%BA%BFu-s%C3%A1ng-ngo%C3%A0i-tr%E1%BB%9Di-i.1166881808.26103278093?model_id=236462226304,26103278093,456,4.3,274,370000,259000,VND,238,141,https://shopee.vn/essonio,4.38,3,100,0.00 hours,Wed Jan 17 2024 10:52:32 GMT+0000 ,226,https://shopee.vn,ESSONIO,100636,TRUE,TRUE,1166881808
https://shopee.vn/B%E1%BB%87n-T%C3%B3c-Gi%E1%BA%A3-60cm-T%E1%BA%BFt-S%E1%BA%B5n-C%C3%B3-Chun-Bu%E1%BB%99c-T%C3%B3c-Highlight-T%E1%BA%BFt-S%E1%BA%B5n-%C4%90u%C3%B4i-Ng%E1%BB%B1a-T%E1%BA%BFt-S%E1%BB%A3i-Nh%E1%BB%8F-D%C3%A1ng-D%C3%A0i-Nhi%E1%BB%81u-M%C3%A0u%E3%80%90deerlu04.vn%E3%80%91-i.985086011.23946535851?model_id=196840628613,23946535851,474,4.79,282,79000,39500,VND,2300,127,https://shopee.vn/deerlu04.vn,4.78,62,100,0.03 hours,Thu Apr 13 2023 02:39:28 GMT+0000 ,11070,https://shopee.vn,,100009,TRUE,TRUE,985086011
https://shopee.vn/-Hot-trend-H%C3%A0ng-trung-Gi%C3%A0y-Th%E1%BB%83-Thao-MLB-Chunky-Liner-Xanh-La%CC%81-Gi%C3%A0y-MLB-Chunky-Liner-White-Black-Ca%CC%81c-M%C3%A2%CC%83u-Ho%CC%81t-2022-i.420735457.23969636012?model_id=246581990590,23969636012,435,4.64,165,335000,229000,VND,910,4751,https://shopee.vn/gindurstore,4.68,45,57,4.48 hours,Sat Apr 10 2021 14:08:59 GMT+0000 ,29146,https://shopee.vn,,100532,TRUE,TRUE,420735457
https://shopee.vn/-KOL-X-TIF-WATCHES-%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91eo-tay-LAURA-Rose-Tif-Watches-Th%E1%BB%9Di-Trang-Sang-Tr%E1%BB%8Dng-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-cho-N%E1%BB%AF-i.83270764.27353945284?model_id=137967226842,27353945284,78,4.88,42,700000,455000,VND,196,74,https://shopee.vn/tifwatches,4.91,68,99,0.50 hours,Tue Aug 07 2018 09:40:54 GMT+0000 ,154552,https://shopee.vn,TIF,100534,FALSE,TRUE,83270764
